flavor name,amount
Acai,0
Almond,0
Amaretto,0
Anise,0
Apple,0
Apple Pie,0
Apricot,0
Banana,0
Banana Cream,0
Banana Foster,0
Basil,0
Bavarian Cream,0
Bell Pepper,0
Berry,0
Black Currant,0
Black Licorice,0
Blackberry,0
Blood Orange,0
Blue Raspberry,0
Blueberry,0
Bourbon,0
Boysenberry,0
Brandy,0
Brown Sugar,0
Bubble Gum,0
Burnt Sugar,0
Butter,0
Butter Rum,0
Butter Pecan,0
Buttered Popcorn,0
Butterscotch,0
Cabernet,0
Cake Batter,0
Cantaloupe,0
Cappuccino,0
Caramel,0
Caramel Corn,0
Carrot,0
Carrot Cake,0
Cashew,0
Chai,0
Champagne,0
Chardonnay,0
Cheese,0
Cheesecake,0
Cherry,0
Chestnut,0
Chili,0
Chocolate,0
Chocolate Fudge,0
Chocolate Hazelnut,0
Chocolate Malt,0
Cider,0
Cinnamon,0
Cinnamon Roll,0
Citrus Blossom,0
Citrus Punch,0
Clove,0
Coconut,0
Coffee,0
Cola,0
Cookie Dough,0
Cookies & Cream,0
Corn,0
Cotton Candy,0
Cran-Raspberry,0
Cranberry,0
Cream Cheese Icing,0
Cream Soda,0
Cucumber Serrano Pepper,0
Custard,0
Danish Pastry,0
Date,0
Dragon Fruit,0
Earl Gray,0
English Toffee,0
Eggnog,0
Espresso,0
Fig,0
French Vanilla,0
Fruit Punch,0
Garlic,0
Ginger,0
Gingerbread,0
Ginseng,0
Gooseberry,0
Graham Cracker,0
Grape,0
Grapefruit,0
Green Apple,0
Green Tea,0
Grenadine,0
Guava,0
Hazelnut,0
Hibiscus,0
Hickory Smoke,0
Honey,0
Honeydew,0
Horchata,0
Hot Chili,0
Hot Cinnamon,0
Irish Cream,0
Jalapeno,0
Jasmine,0
Juniper,0
Key Lime,0
Kiwi,0
Lavender,0
Lemon,0
Lemon Meringue,0
Lemonade,0
Lemongrass,0
Licorice,0
Lime,0
Lychee,0
Macadamia,0
Malt,0
Mango,0
Maple,0
Maraschino Cherry,0
Marshmallow,0
Melon,0
Menthol,0
Menthol Eucalyptus,0
Mint,0
Mint Chocolate Chip,0
Mocha,0
Nectarine,0
Nutmeg,0
Oak Smoke,0
Onion,0
Orange Brandy,0
Orange Cream,0
Orange,0
Pancake,0
Panettone,0
Papaya,0
Passion Fruit,0
Peach,0
Peanut Butter,0
Pear,0
Pecan,0
Peppermint,0
Pina Colada,0
Pineapple,0
Pistachio,0
Plum,0
Pomegranate,0
Praline,0
Pumpkin,0
Raisin,0
Raspberry,0
Rhubarb,0
Root Beer,0
Rose,0
Saltwater Taffy,0
Sangria,0
Sassafras,0
Sparkling Wine,0
Spearmint,0
Strawberry Banana,0
Strawberry,0
Strawberry Kiwi,0
Tamarindo,0
Tangerine,0
Teaberry,0
Tiramisu,0
Toffee,0
Tropical Punch,0
Tutti-Frutti,0
Violet,0
Walnut,0
Watermelon,0
White Chocolate,0
Wintergreen,0
Yogurt,0
